Name,Current Price (USD),24h Price Change (%),24h High,24h Low
Bitcoin,59934,-0.15225,60360,58935
Ethereum,1577.27,0.51296,1584.96,1553.81
Tether,0.998446,-0.00759,0.998674,0.998273
BNB,552.72,-0.4519,557.55,546.07
USDC,0.999637,-0.0081,0.999821,0.999389
XRP,1.046,0.05131,1.056,1.034
Solana,72.13,2.16988,73.0,70.05
TRON,0.322809,0.49776,0.323966,0.321047
Figure Heloc,1.044,0.0,1.044,1.044
Hyperliquid,62.5,0.3123,63.37,60.71
